Request Number: 1 , Factorial: 1 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 2 , Factorial: 2 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 3 , Factorial: 6 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 4 , Factorial: 24 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 5 , Factorial: 120 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 6 , Factorial: 720 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 7 , Factorial: 5040 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 8 , Factorial: 40320 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 9 , Factorial: 362880 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 10 , Factorial: 3628800 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 11 , Factorial: 39916800 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 12 , Factorial: 479001600 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 13 , Factorial: 6227020800 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 14 , Factorial: 87178291200 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 15 , Factorial: 1307674368000 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 16 , Factorial: 20922789888000 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 17 , Factorial: 355687428096000 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 18 , Factorial: 6402373705728000 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 19 , Factorial: 121645100408832000 , IP Adress: 127.0.0.1 , Port Adress: 36116 
Request Number: 20 , Factorial: 2432902008176640000 , IP Adress: 127.0.0.1 , Port Adress: 36116 
